end_of_week,EUR,GBP,USD,AUD,CAD,CNY,HKD,INR,IDR,JPY,KRW,MYR,TWD,NZD,PHP,QAR,SAR,CHF,THB,AED,VND
2017-03-10,1.5047,1.7273,1.4201,1.0675,1.0518,20.55,18.29,2.1294,0.010604,1.2327,0.1226,31.87,4.5607,0.9814,2.8213,39.0,37.87,1.4033,4.0144,38.66,0.006227
2017-03-17,1.5119,1.7338,1.4034,1.0788,1.0539,20.34,18.08,2.1395,0.01052,1.2369,0.124,31.59,4.5868,0.9811,2.7971,38.54,37.4,1.4082,4.0132,38.21,0.00616
2017-03-24,1.5086,1.7499,1.4009,1.0672,1.048,20.32,18.04,2.1402,0.010512,1.2586,0.1248,31.62,4.5957,0.9827,2.782,38.47,37.36,1.4074,4.0395,38.14,0.00615
2017-03-31,1.4923,1.7452,1.3978,1.0683,1.0477,20.27,17.99,2.1567,0.010491,1.247,0.1248,31.58,4.5998,0.9765,2.7831,38.39,37.27,1.396,4.0563,38.06,0.006142
2017-04-07,1.4921,1.7478,1.4017,1.0558,1.0457,20.31,18.04,2.1707,0.01051,1.2682,0.1236,31.59,4.5776,0.9771,2.7933,38.5,37.37,1.3951,4.0476,38.16,0.006184
2017-04-13,1.4877,1.7513,1.394,1.0572,1.0536,20.27,17.94,2.1648,0.010512,1.281,0.1235,31.51,4.6083,0.9759,2.8273,38.29,37.17,1.3919,4.0618,37.95,0.006147
2017-04-21,1.4979,1.7889,1.3977,1.0522,1.0369,20.31,17.98,2.1614,0.010493,1.2795,0.1229,31.8,4.6075,0.9784,2.81,38.38,37.27,1.3987,4.0649,38.05,0.006153
2017-04-28,1.5175,1.8033,1.3964,1.0438,1.0237,20.26,17.95,2.1744,0.010474,1.2565,0.123,32.12,4.6223,0.9604,2.7861,38.35,37.23,1.4045,4.0312,38.02,0.006143
2017-05-05,1.5394,1.81,1.4015,1.0336,1.0166,20.33,18.01,2.1805,0.010508,1.2486,0.1232,32.32,4.6447,0.9634,2.8055,38.49,37.37,1.421,4.0482,38.16,0.006165
2017-05-12,1.5317,1.8159,1.4091,1.0396,1.0289,20.42,18.08,2.1919,0.010563,1.2393,0.1249,32.41,4.6664,0.9638,2.8272,38.7,37.57,1.3986,4.0596,38.36,0.00621
2017-05-19,1.5468,1.8037,1.3924,1.0339,1.0239,20.2,17.89,2.1488,0.010394,1.2508,0.1236,32.16,4.6047,0.9588,2.7904,38.24,37.13,1.4205,4.0324,37.91,0.006133
2017-05-26,1.5524,1.7864,1.3858,1.0287,1.0273,20.21,17.78,2.1455,0.010422,1.2418,0.1237,32.4,4.5979,0.9716,2.7793,38.05,36.95,1.423,4.0668,37.73,0.006098
2017-06-02,1.5552,1.7852,1.3863,1.0241,1.0261,20.34,17.79,2.1535,0.010417,1.2423,0.1237,32.38,4.6016,0.9804,2.7886,38.07,36.97,1.4276,4.0523,37.75,0.006105
2017-06-09,1.548,1.7637,1.3825,1.0418,1.023,20.33,17.73,2.1539,0.010402,1.2537,0.1234,32.4,4.5899,0.9975,2.7945,37.88,36.86,1.4272,4.0608,37.64,0.006093
2017-06-16,1.5439,1.769,1.3851,1.0514,1.0443,20.33,17.76,2.1415,0.010415,1.2458,0.1221,32.37,4.5508,0.9987,2.7719,37.79,36.94,1.4203,4.0726,37.71,0.006106
2017-06-23,1.5509,1.7644,1.3894,1.0488,1.0507,20.31,17.82,2.1522,0.010425,1.248,0.1218,32.39,4.5623,1.0092,2.7603,37.81,37.04,1.4313,4.0887,37.83,0.006114
2017-06-30,1.5758,1.793,1.3773,1.0603,1.0606,20.35,17.64,2.13,0.010334,1.2316,0.1204,32.07,4.5337,1.0097,2.7319,36.87,36.73,1.4397,4.0531,37.5,0.006059
2017-07-07,1.5774,1.7924,1.3822,1.0482,1.064,20.33,17.7,2.1358,0.010312,1.2161,0.1197,32.15,4.5171,1.0065,2.731,37.96,36.86,1.4384,4.0556,37.63,0.006077
2017-07-14,1.5694,1.7815,1.3756,1.0645,1.0805,20.28,17.61,2.134,0.010307,1.2127,0.1211,32.02,4.5268,1.0069,2.7167,37.09,36.68,1.4227,4.0583,37.45,0.006051
2017-07-21,1.5882,1.7712,1.3658,1.0763,1.0843,20.19,17.49,2.1227,0.010249,1.2199,0.1217,31.84,4.4838,1.0126,2.6914,37.18,36.42,1.4355,4.0746,37.19,0.006009
2017-07-28,1.59,1.7792,1.3608,1.0835,1.0834,20.17,17.42,2.1192,0.010208,1.2246,0.1215,31.79,4.4972,1.0173,2.6885,37.08,36.29,1.4038,4.0743,37.05,0.005987
2017-08-04,1.6129,1.7841,1.3579,1.0817,1.0805,20.21,17.37,2.1328,0.010191,1.2333,0.1206,31.75,4.4996,1.0092,2.7057,36.98,36.21,1.403,4.0844,36.97,0.005973
2017-08-11,1.605,1.7713,1.3632,1.0692,1.0699,20.44,17.44,2.1233,0.010198,1.2509,0.1189,31.73,4.4891,0.9905,2.6708,36.99,36.35,1.4193,4.0985,37.11,0.005998
2017-08-18,1.6012,1.759,1.365,1.0776,1.078,20.44,17.45,2.1286,0.010212,1.2478,0.1196,31.77,4.4972,0.9952,2.6514,37.12,36.4,1.4191,4.1076,37.16,0.006006
2017-08-25,1.6049,1.7427,1.3606,1.0749,1.0876,20.41,17.39,2.1244,0.010193,1.2417,0.1205,31.82,4.4999,0.9812,2.6613,36.92,36.28,1.4102,4.0785,37.04,0.005985
2017-08-31,1.613,1.7541,1.3584,1.0737,1.0747,20.59,17.36,2.1217,0.010178,1.2288,0.1207,31.81,4.5056,0.9738,2.6547,36.93,36.22,1.4089,4.0891,36.98,0.005976
2017-09-08,1.614,1.7558,1.337,1.0839,1.1074,20.72,17.13,2.0934,0.010108,1.2365,0.1187,31.95,4.4692,0.9776,2.6358,36.16,35.65,1.4139,4.0436,36.4,0.005883
2017-09-15,1.6036,1.8038,1.3467,1.0758,1.1057,20.56,17.24,2.1003,0.010173,1.2201,0.1188,32.12,4.479,0.9739,2.6284,36.43,35.91,1.3971,4.0721,36.66,0.005926
2017-09-22,1.613,1.8315,1.3491,1.069,1.0953,20.48,17.28,2.0725,0.010121,1.2071,0.1184,32.14,4.4632,0.9827,2.6519,36.31,35.97,1.394,4.0758,36.73,0.005935
2017-09-29,1.6007,1.8224,1.3584,1.0662,1.0922,20.34,17.39,2.0804,0.010092,1.2062,0.1186,32.13,4.4713,0.98,2.6738,36.56,36.22,1.3988,4.0706,36.98,0.005977
2017-10-06,1.599,1.7891,1.3666,1.0595,1.0859,20.54,17.5,2.0938,0.010126,1.2108,0.1196,32.26,4.5013,0.9701,2.6742,36.75,36.44,1.3958,4.0892,37.21,0.006013
2017-10-13,1.6043,1.7977,1.3542,1.061,1.0861,20.59,17.34,2.086,0.010027,1.2072,0.1199,32.1,4.49,0.967,2.6335,36.18,36.11,1.3889,4.0936,36.87,0.00596
2017-10-20,1.6065,1.782,1.3595,1.0666,1.0865,20.52,17.42,2.0916,0.010053,1.2014,0.12,32.18,4.4959,0.9503,2.6405,35.87,36.25,1.3852,4.1021,37.01,0.005984
2017-10-27,1.5924,1.7975,1.3682,1.0447,1.0635,20.57,17.53,2.1042,0.010043,1.1992,0.1211,32.26,4.5191,0.936,2.6396,36.17,36.48,1.3707,4.1098,37.25,0.006022
2017-11-03,1.5868,1.779,1.3612,1.046,1.0624,20.56,17.44,2.108,0.010096,1.1938,0.1222,32.15,4.5082,0.9421,2.6532,35.31,36.29,1.3628,4.1091,37.06,0.005993
2017-11-10,1.5827,1.7864,1.3589,1.0444,1.0724,20.47,17.42,2.0889,0.010051,1.1985,0.1217,32.4,4.5049,0.9432,2.6532,35.29,36.23,1.3663,4.1071,37.0,0.005983
2017-11-17,1.599,1.7919,1.3541,1.0277,1.064,20.43,17.34,2.0905,0.010017,1.2036,0.1235,32.53,4.5103,0.928,2.6645,37.19,36.11,1.3653,4.1214,36.87,0.005962
2017-11-24,1.5952,1.79,1.3468,1.0261,1.058,20.44,17.24,2.0814,0.009968,1.2082,0.1241,32.69,4.4919,0.9261,2.6556,36.99,35.91,1.3709,4.1205,36.67,0.005926
2017-12-01,1.6058,1.8243,1.3481,1.0197,1.0472,20.38,17.26,2.0903,0.009966,1.1979,0.1239,32.96,4.493,0.9209,2.6791,37.02,35.95,1.3705,4.1256,36.7,0.005934
2017-12-08,1.5903,1.8208,1.3514,1.0158,1.0514,20.42,17.31,2.093,0.009969,1.1927,0.1237,33.06,4.5015,0.9235,2.6744,37.11,36.03,1.3586,4.1402,36.79,0.00595
2017-12-15,1.5874,1.8099,1.3472,1.0329,1.0541,20.39,17.24,2.1002,0.009923,1.1997,0.1236,32.95,4.489,0.9441,2.6682,36.99,35.92,1.3629,4.14,36.68,0.00593
2017-12-22,1.5933,1.7991,1.3448,1.0373,1.0554,20.46,17.2,2.0991,0.009918,1.1866,0.1246,32.87,4.4931,0.9436,2.6755,36.93,35.86,1.3601,4.1074,36.62,0.005921
2017-12-29,1.5962,1.7987,1.3366,1.0416,1.064,20.5,17.09,2.0888,0.009862,1.1851,0.1251,32.9,4.5033,0.9484,2.6744,36.7,35.64,1.3656,4.0898,36.39,0.005887
2018-01-05,1.6022,1.7999,1.3269,1.0426,1.0625,20.47,16.97,2.0951,0.009894,1.1759,0.125,33.23,4.4937,0.9498,2.6684,36.44,35.38,1.3616,4.1207,36.12,0.005842
2018-01-12,1.6008,1.7999,1.3286,1.0468,1.0606,20.49,16.98,2.0892,0.00994,1.194,0.1249,33.46,4.4859,0.9638,2.6419,36.49,35.42,1.3618,4.1621,36.17,0.00585
2018-01-19,1.6163,1.8344,1.3176,1.0565,1.0617,20.61,16.85,2.0706,0.009901,1.1887,0.1237,33.47,4.4857,0.9631,2.6018,36.19,35.13,1.3775,4.138,35.87,0.005801
2018-01-26,1.6246,1.8544,1.3073,1.0527,1.0582,20.65,16.72,2.0582,0.009824,1.1953,0.1229,33.74,4.4917,0.9586,2.5683,35.9,34.86,1.3917,4.1685,35.59,0.005756
2018-02-02,1.6392,1.8714,1.3115,1.0499,1.0681,20.87,16.77,2.0453,0.00976,1.197,0.1217,33.73,4.4845,0.9661,2.5376,36.01,34.97,1.4153,4.1826,35.7,0.005775
2018-02-09,1.6328,1.8571,1.3323,1.037,1.0579,21.07,17.04,2.0701,0.009765,1.2217,0.1222,33.83,4.5338,0.9608,2.5829,36.59,35.52,1.4205,4.1862,36.27,0.005868
2018-02-15,1.6361,1.8402,1.3132,1.0417,1.0514,20.69,16.79,2.0533,0.009685,1.2321,0.1225,33.72,4.5202,0.9681,2.5253,36.06,35.01,1.4156,4.1967,35.75,0.005783
2018-02-23,1.6254,1.8423,1.3208,1.034,1.0389,20.83,16.88,2.0362,0.009663,1.2357,0.1225,33.82,4.5125,0.9646,2.5459,36.28,35.22,1.4133,4.1937,35.96,0.005808
2018-03-02,1.6232,1.822,1.3217,1.0251,1.0302,20.8,16.88,2.0261,0.009606,1.2464,0.1222,33.75,4.5081,0.9611,2.546,36.3,35.24,1.4058,4.1984,35.98,0.005807
2018-03-09,1.6227,1.8197,1.3182,1.0256,1.0215,20.78,16.81,2.0249,0.009559,1.2355,0.1234,33.67,4.4987,0.9579,2.5296,36.2,35.15,1.3847,4.2008,35.89,0.005791
2018-03-16,1.6185,1.8318,1.3148,1.0233,1.0071,20.77,16.76,2.0252,0.009554,1.242,0.123,33.51,4.5154,0.9533,2.5274,36.11,35.06,1.3833,4.2126,35.79,0.005775
2018-03-23,1.622,1.8565,1.3151,1.0142,1.0183,20.77,16.76,2.0179,0.009538,1.2548,0.1217,33.61,4.5082,0.9505,2.5134,36.12,35.07,1.3909,4.2088,35.8,0.005768
2018-03-29,1.6169,1.847,1.3117,1.0041,1.0153,20.84,16.71,2.013,0.009536,1.2308,0.123,33.91,4.5004,0.944,2.5086,36.02,34.98,1.3718,4.2,35.71,0.005751
2018-04-06,1.6123,1.8441,1.317,1.0116,1.0318,20.89,16.78,2.0255,0.009558,1.2283,0.1234,34.02,4.4972,0.9565,2.5286,36.17,35.12,1.3682,4.2104,35.86,0.005776
2018-04-13,1.6173,1.8672,1.3118,1.0196,1.0422,20.85,16.71,2.0095,0.009534,1.2216,0.1225,33.81,4.4692,0.9674,2.5233,36.03,34.98,1.3625,4.207,35.71,0.005757
2018-04-20,1.6196,1.8477,1.3123,1.0124,1.036,20.88,16.72,1.9873,0.009497,1.2194,0.1229,33.73,4.4642,0.9506,2.5181,36.04,34.99,1.3502,4.1987,35.73,0.005763
2018-04-27,1.6071,1.8484,1.3269,1.0022,1.0314,20.94,16.91,1.9887,0.009553,1.2151,0.1233,33.85,4.4753,0.9377,2.5536,36.43,35.38,1.3415,4.1976,36.12,0.005829
2018-05-04,1.5941,1.8055,1.3294,1.0044,1.0354,20.95,16.94,1.9948,0.009533,1.2197,0.1235,33.79,4.4803,0.9343,2.5782,36.51,35.45,1.3328,4.203,36.19,0.00584
2018-05-11,1.5935,1.8088,1.337,1.0077,1.0476,21.07,17.03,1.991,0.009522,1.2213,0.1251,33.84,4.4983,0.9315,2.5659,36.72,35.65,1.333,4.1898,36.4,0.005872
2018-05-18,1.5847,1.8143,1.3428,1.009,1.0474,21.08,17.11,1.9785,0.009505,1.2103,0.1243,33.76,4.4871,0.925,2.5651,36.88,35.8,1.3417,4.1791,36.56,0.005893
2018-05-25,1.5696,1.7925,1.3405,1.0145,1.0392,20.99,17.08,1.9642,0.00947,1.2233,0.1244,33.65,4.4785,0.9291,2.5509,36.82,35.74,1.3509,4.1883,36.49,0.005884
2018-06-01,1.5643,1.776,1.3391,1.011,1.0337,20.87,17.07,1.991,0.009637,1.2267,0.1245,33.61,4.4858,0.9373,2.5454,36.78,35.7,1.3557,4.1767,36.46,0.005875
2018-06-08,1.5735,1.7896,1.3339,1.0147,1.0273,20.83,17.0,1.9774,0.009587,1.2159,0.1242,33.49,4.4762,0.9362,2.5326,36.62,35.57,1.3602,4.1611,36.31,0.005852
2018-06-14,1.577,1.7891,1.3363,1.0106,1.0294,20.89,17.03,1.9768,0.009593,1.2122,0.1234,33.48,4.4671,0.939,2.5072,36.7,35.63,1.357,4.1565,36.38,0.005858
2018-06-22,1.5772,1.8014,1.3582,1.0043,1.0213,20.88,17.31,2.0022,0.009627,1.2351,0.1225,33.84,4.4788,0.9366,2.5428,37.29,36.21,1.3706,4.1244,36.98,0.005933
2018-06-29,1.5885,1.7902,1.365,1.0078,1.0319,20.62,17.39,1.9898,0.009496,1.2332,0.1222,33.8,4.4743,0.9243,2.5574,37.49,36.4,1.3723,4.1164,37.16,0.005945
2018-07-06,1.5959,1.8048,1.3655,1.0085,1.0387,20.5,17.4,1.9795,0.009473,1.2335,0.122,33.74,4.4691,0.9283,2.5561,37.5,36.41,1.3737,4.1079,37.17,0.005926
2018-07-13,1.5902,1.797,1.3635,1.0112,1.0359,20.43,17.37,1.9937,0.009487,1.2104,0.1213,33.75,4.4623,0.9239,2.549,37.45,36.36,1.3609,4.0994,37.12,0.005915
2018-07-20,1.596,1.7836,1.3699,1.0075,1.0329,20.17,17.45,1.9856,0.009428,1.2193,0.1206,33.69,4.4584,0.9245,2.56,37.62,36.53,1.3709,4.0915,37.29,0.005941
2018-07-27,1.5873,1.7862,1.3626,1.0068,1.0435,20.03,17.36,1.9867,0.009423,1.2276,0.1217,33.52,4.4563,0.9243,2.5542,37.42,36.33,1.371,4.0784,37.1,0.005865
2018-08-03,1.5865,1.782,1.3687,1.0086,1.052,19.93,17.44,1.9913,0.00944,1.2257,0.1213,33.53,4.4586,0.9214,2.5764,37.59,36.5,1.3749,4.1059,37.26,0.005873
2018-08-10,1.5764,1.754,1.367,1.0075,1.0476,19.99,17.41,1.9874,0.00947,1.2328,0.1215,33.51,4.4565,0.9041,2.5748,37.54,36.45,1.3753,4.1161,37.21,0.005873
2018-08-17,1.5645,1.7484,1.3749,0.9992,1.0454,19.97,17.52,1.9616,0.009411,1.2404,0.1222,33.5,4.4703,0.9067,2.5742,37.76,36.66,1.3792,4.1413,37.43,0.005901
2018-08-24,1.5866,1.7598,1.3731,0.999,1.0493,19.93,17.49,1.9564,0.009366,1.2317,0.1223,33.41,4.4549,0.9119,2.5668,37.71,36.61,1.3923,4.1836,37.38,0.005892
2018-08-31,1.596,1.7799,1.3684,0.9923,1.0513,20.02,17.44,1.9281,0.00929,1.2327,0.1229,33.3,4.4534,0.9089,2.5579,37.58,36.48,1.4127,4.1775,37.25,0.005873
2018-09-07,1.5987,1.778,1.3754,0.9853,1.0472,20.11,17.52,1.9123,0.009234,1.2436,0.1224,33.19,4.4663,0.9041,2.5492,37.78,36.67,1.4244,4.1933,37.44,0.0059
2018-09-14,1.6021,1.7974,1.3701,0.9856,1.0544,19.98,17.46,1.9074,0.00924,1.2252,0.1224,33.08,4.4508,0.9023,2.5346,37.63,36.53,1.4199,4.2041,37.3,0.005894
2018-09-21,1.6069,1.8102,1.3638,0.9949,1.0564,19.93,17.43,1.8978,0.009201,1.2097,0.1222,33.01,4.4389,0.9125,2.5259,37.45,36.36,1.4227,4.2098,37.13,0.005844
2018-09-28,1.5923,1.7879,1.3671,0.9864,1.0496,19.86,17.47,1.8849,0.009173,1.2044,0.1233,33.02,4.4843,0.9037,2.5274,37.55,36.45,1.3997,4.2245,37.22,0.00586
2018-10-05,1.5901,1.798,1.3819,0.9761,1.0691,20.12,17.64,1.8803,0.0091,1.2132,0.1222,33.33,4.4738,0.8935,2.5459,37.95,36.85,1.3917,4.2125,37.62,0.00592
2018-10-12,1.5941,1.8181,1.3739,0.9789,1.0546,19.91,17.53,1.8629,0.009042,1.2226,0.1214,33.06,4.4528,0.8958,2.5401,37.73,36.63,1.3878,4.2002,37.4,0.005885
2018-10-19,1.5801,1.7959,1.3792,0.9804,1.0556,19.88,17.59,1.8759,0.00906,1.2272,0.1216,33.15,4.4587,0.9052,2.561,37.88,36.76,1.3845,4.2268,37.55,0.005907
2018-10-26,1.5727,1.7734,1.3837,0.9729,1.0553,19.88,17.65,1.8848,0.009092,1.2333,0.1211,33.12,4.4621,0.8966,2.5747,38.0,36.89,1.3835,4.184,37.67,0.005925
2018-11-02,1.5696,1.7886,1.3765,0.9907,1.051,19.86,17.56,1.8834,0.009119,1.2213,0.122,32.97,4.4735,0.9161,2.5847,37.81,36.7,1.3741,4.1756,37.47,0.005901
2018-11-09,1.5627,1.7971,1.3771,0.997,1.0449,19.82,17.59,1.8933,0.009403,1.2089,0.1222,32.96,4.4778,0.9272,2.6015,37.82,36.71,1.3673,4.1661,37.49,0.005905
2018-11-16,1.5593,1.7598,1.3756,1.0002,1.0454,19.82,17.56,1.9138,0.009447,1.2127,0.122,32.81,4.4555,0.9387,2.6133,37.78,36.66,1.3666,4.1696,37.45,0.005901
2018-11-23,1.5671,1.7682,1.3728,0.9958,1.0401,19.78,17.54,1.942,0.009449,1.2157,0.1215,32.72,4.441,0.9346,2.6221,37.7,36.59,1.3812,4.1606,37.37,0.00588
2018-11-30,1.5616,1.7513,1.3705,1.003,1.0317,19.74,17.52,1.9663,0.009586,1.2085,0.1224,32.72,4.4464,0.9414,2.6175,37.64,36.53,1.3754,4.1657,37.31,0.005879
2018-12-07,1.5572,1.748,1.3685,0.9903,1.0224,19.92,17.52,1.941,0.009457,1.2131,0.1225,32.88,4.4384,0.9425,2.6014,37.58,36.48,1.379,4.1746,37.26,0.005869
2018-12-14,1.5588,1.7332,1.3722,0.9869,1.0264,19.91,17.57,1.9124,0.009431,1.209,0.1215,32.81,4.449,0.9324,2.6025,37.68,36.57,1.3804,4.1891,37.36,0.005892
2018-12-21,1.5667,1.7318,1.3685,0.9737,1.0137,19.86,17.49,1.9545,0.009447,1.2296,0.1219,32.74,4.4524,0.9273,2.5815,37.58,36.47,1.3859,4.1887,37.26,0.005878
2018-12-28,1.5678,1.7331,1.3685,0.9647,1.0049,19.96,17.47,1.9523,0.009404,1.2377,0.1224,32.93,4.4494,0.9181,2.6041,37.58,36.47,1.3898,4.2236,37.26,0.0059
2019-01-04,1.5521,1.7217,1.362,0.9573,1.01,19.85,17.39,1.9481,0.009534,1.2573,0.1212,32.9,4.4095,0.9132,2.5915,37.4,36.31,1.3798,4.2495,37.08,0.00587
2019-01-11,1.5577,1.7247,1.3516,0.9737,1.023,20.01,17.24,1.9182,0.009623,1.2479,0.1209,33.0,4.3887,0.9201,2.5899,37.12,36.03,1.3744,4.2342,36.8,0.005826
2019-01-18,1.5451,1.7588,1.3558,0.975,1.0212,20.01,17.28,1.9037,0.00956,1.2397,0.1209,32.94,4.3965,0.9169,2.5835,37.24,36.15,1.3644,4.2763,36.91,0.005843
2019-01-25,1.5386,1.7829,1.3591,0.9662,1.0208,20.06,17.32,1.9133,0.009605,1.2372,0.1209,32.86,4.4031,0.9208,2.5782,37.32,36.24,1.3649,4.2899,37.0,0.005859
2019-02-01,1.543,1.766,1.3482,0.9769,1.0259,20.03,17.19,1.8944,0.009668,1.2383,0.1206,32.91,4.3837,0.932,2.5806,36.91,35.94,1.3561,4.301,36.7,0.005814
2019-02-08,1.5388,1.757,1.357,0.9601,1.0183,20.12,17.3,1.9002,0.009706,1.236,0.1208,33.32,4.4053,0.9166,2.605,37.27,36.18,1.3542,4.3187,36.94,0.005847
2019-02-15,1.5331,1.7381,1.3584,0.9631,1.021,20.05,17.31,1.9058,0.009623,1.2314,0.1204,33.29,4.4028,0.9273,2.5898,37.31,36.22,1.3511,4.3405,36.98,0.005853
2019-02-22,1.5356,1.7654,1.3543,0.9608,1.0235,20.13,17.26,1.9022,0.009625,1.223,0.1203,33.17,4.3954,0.9175,2.5962,37.19,36.11,1.3529,4.331,36.87,0.005832
2019-03-01,1.5379,1.7931,1.3526,0.9594,1.0279,20.19,17.23,1.9088,0.00958,1.2113,0.1202,33.21,4.3884,0.9214,2.6117,37.15,36.06,1.3544,4.2802,36.82,0.00583
2019-03-08,1.5227,1.7807,1.36,0.9538,1.0109,20.24,17.32,1.9393,0.00954,1.2208,0.12,33.23,4.4008,0.9189,2.6034,37.35,36.26,1.345,4.2752,37.02,0.005863
2019-03-15,1.5338,1.7944,1.3551,0.9598,1.018,20.16,17.26,1.9594,0.009483,1.2137,0.1191,33.13,4.3866,0.927,2.572,37.22,36.13,1.3517,4.2692,36.89,0.00584
2019-03-22,1.5349,1.7728,1.3491,0.9585,1.0097,20.12,17.2,1.9662,0.00953,1.2179,0.1194,33.22,4.3785,0.9294,2.566,37.06,35.97,1.3592,4.2545,36.73,0.005815
2019-03-29,1.5223,1.7714,1.3559,0.9607,1.0093,20.16,17.27,1.9605,0.009523,1.2245,0.1193,33.22,4.3991,0.9197,2.5742,37.24,36.15,1.3615,4.261,36.91,0.005844
2019-04-05,1.5201,1.7729,1.3544,0.9645,1.0139,20.16,17.25,1.9593,0.009568,1.2123,0.1192,33.18,4.3945,0.9149,2.5964,37.19,36.11,1.3537,4.2483,36.87,0.005837
2019-04-12,1.5318,1.7741,1.3567,0.9675,1.0152,20.19,17.3,1.961,0.009588,1.214,0.119,32.93,4.3936,0.9138,2.6141,37.26,36.18,1.3532,4.2603,36.94,0.005848
2019-04-18,1.5289,1.7652,1.3537,0.9718,1.0136,20.22,17.25,1.9484,0.009648,1.2095,0.1191,32.66,4.3905,0.9097,2.6188,37.18,36.1,1.3402,4.2527,36.85,0.005834
2019-04-26,1.5166,1.7568,1.362,0.9562,1.0103,20.22,17.36,1.9405,0.009598,1.22,0.1173,32.96,4.4016,0.9042,2.6106,37.41,36.32,1.3352,4.2514,37.08,0.005848
2019-05-03,1.5227,1.7768,1.3627,0.9536,1.0119,20.23,17.37,1.9655,0.009544,1.2223,0.1166,32.9,4.4104,0.9023,2.6246,37.42,36.33,1.3363,4.2543,37.1,0.00586
2019-05-10,1.5305,1.774,1.3629,0.9531,1.012,20.01,17.37,1.946,0.009493,1.2417,0.1157,32.8,4.4024,0.8989,2.6119,37.43,36.34,1.3433,4.3062,37.1,0.005837
2019-05-17,1.5362,1.7578,1.3744,0.9462,1.0205,19.9,17.51,1.9572,0.009504,1.253,0.1151,32.93,4.3887,0.8984,2.6154,37.75,36.65,1.3617,4.3287,37.42,0.005875
2019-05-24,1.5429,1.7468,1.3799,0.95,1.024,19.96,17.58,1.9774,0.009536,1.2592,0.1159,32.91,4.376,0.8989,2.6318,37.89,36.79,1.3741,4.3208,37.57,0.005899
2019-05-31,1.5348,1.7389,1.3789,0.9533,1.0189,19.96,17.57,1.977,0.009589,1.2628,0.1159,32.85,4.3621,0.8975,2.639,37.87,36.77,1.3713,4.3403,37.54,0.005889
2019-06-07,1.5386,1.7336,1.3656,0.9522,1.0227,19.76,17.42,1.9711,0.009566,1.2588,0.1157,32.84,4.3547,0.9035,2.6426,37.51,36.42,1.377,4.3553,37.18,0.005838
2019-06-14,1.542,1.7335,1.3679,0.9438,1.0256,19.76,17.47,1.9661,0.009559,1.2628,0.1155,32.82,4.3414,0.8941,2.6363,37.57,36.47,1.3759,4.3808,37.24,0.005865
2019-06-21,1.5324,1.7236,1.3559,0.9395,1.0292,19.77,17.37,1.9455,0.009596,1.2659,0.1166,32.67,4.374,0.8946,2.6337,37.24,36.15,1.381,4.3971,36.91,0.00582
2019-06-28,1.5383,1.7152,1.3535,0.9487,1.0334,19.69,17.33,1.9628,0.009573,1.2576,0.117,32.68,4.3671,0.9067,2.642,37.17,36.09,1.3867,4.4007,36.85,0.005809
2019-07-05,1.5299,1.7061,1.356,0.9526,1.0387,19.72,17.41,1.9747,0.009586,1.2573,0.1158,32.79,4.3588,0.9062,2.6502,37.23,36.16,1.3765,4.4146,36.92,0.005835
2019-07-12,1.5303,1.703,1.3577,0.9491,1.0413,19.76,17.36,1.982,0.009642,1.2528,0.1154,33.02,4.3737,0.9069,2.6524,37.29,36.2,1.3722,4.3987,36.96,0.005852
2019-07-19,1.5277,1.7019,1.3564,0.9591,1.0409,19.73,17.37,1.9719,0.009747,1.2613,0.1157,33.01,4.3712,0.9196,2.6616,37.25,36.16,1.3797,4.4102,36.93,0.005838
2019-07-26,1.5254,1.7029,1.3682,0.9499,1.0395,19.89,17.51,1.9806,0.009769,1.2596,0.1155,33.21,4.4026,0.9105,2.6754,37.57,36.48,1.3812,4.4157,37.25,0.005894
2019-08-02,1.5241,1.6642,1.3763,0.9367,1.041,19.85,17.6,1.9857,0.009678,1.2857,0.1151,33.13,4.39,0.8999,2.6796,37.8,36.69,1.3912,4.4532,37.47,0.005924
2019-08-08,1.5487,1.6806,1.3815,0.9357,1.0408,19.61,17.62,1.9508,0.009726,1.3007,0.114,33.02,4.4084,0.8921,2.6475,37.94,36.83,1.4163,4.4918,37.61,0.005948
2019-08-16,1.5403,1.677,1.3873,0.9421,1.0419,19.71,17.69,1.9439,0.009744,1.3061,0.1142,33.16,4.4287,0.894,2.6449,37.9,36.99,1.4178,4.4859,37.77,0.005976
2019-08-23,1.5347,1.6962,1.3867,0.9369,1.0409,19.55,17.69,1.9258,0.009733,1.3012,0.1143,33.09,4.4161,0.8861,2.6488,38.08,36.97,1.4075,4.5028,37.75,0.005977
2019-08-30,1.5337,1.6909,1.3887,0.9327,1.0441,19.42,17.7,1.9372,0.009761,1.304,0.115,32.89,4.4299,0.8744,2.6614,38.14,37.03,1.4059,4.5301,37.81,0.005989
2019-09-06,1.5275,1.7061,1.3844,0.9442,1.0476,19.37,17.66,1.9304,0.009794,1.293,0.1157,33.14,4.4286,0.8843,2.6671,38.02,36.9,1.4022,4.5159,37.69,0.005969
2019-09-13,1.5205,1.6951,1.3737,0.9441,1.0396,19.4,17.56,1.937,0.009849,1.2699,0.1162,32.99,4.4524,0.88,2.653,37.73,36.62,1.3874,4.515,37.4,0.005917
